"Strain" "type" "clade" "env" "genus" "species" "SITE" "PLOT" "TREE" "SPE" "BATCH" "SAMPLE" "TEMP" "DAY" "DAY14" "DATE"
"34" "NZ_RCIG01000008_1_21549_25712_Methylobacterium_sp__DB1607_whole_genome_shotgun_sequence" "ref" "B" "ANTHROPO" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"35" "NZ_JACHOS010000003_1_215321_219484_Methylorubrum_rhodesianum_strain_DSM_5687_Ga0373205_03_whole" "ref" "B" "ANTHROPO" "Methylobacterium" "rhodesianum" NA NA NA NA NA NA NA NA NA NA
"36" "NZ_KB316282_1_1727724_1731887_Methylobacterium_sp__MB200_Scaffold1_whole_genome_shotgun_sequence" "ref" "B" "ANTHROPO" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"37" "NZ_SCOS01000026_1_17722_21882_Methylobacterium_sp__L1A1_NODE_26_length_59618_cov_17_312293_whole" "ref" "B" "WATER" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"38" "NZ_FOSV01000026_1_34273_38434_Methylorubrum_salsuginis_strain_CGMCC_1_6474_whole_genome_shotgun" "ref" "B" "OCEAN" "Methylobacterium" "salsuginis" NA NA NA NA NA NA NA NA NA NA
"39" "NZ_JACHOP010000007_1_67137_71297_Methylorubrum_rhodinum_strain_DSM_2163_Ga0373200_07_whole_genom" "ref" "B" "SOIL" "Methylobacterium" "rhodinum" NA NA NA NA NA NA NA NA NA NA
"40" "NZ_LMQV01000001_1_119895_124061_Methylobacterium_sp__Leaf456_contig_1_whole_genome_shotgun_seque" "ref" "B" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"41" "NZ_BJZU01000148_1_7985_12147_Methylobacterium_oxalidis_strain_NBRC_107715_sequence148_whole_geno" "ref" "A5a" "PHYLLOSPHERE" "Methylobacterium" "oxalidis" NA NA NA NA NA NA NA NA NA NA
"42" "NZ_CP029550_1_6606085_6610247_Methylobacterium_durans_strain_17SD2_17_chromosome_complete_genome" "ref" "A5a" "ANTHROPO/SOIL" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"43" "NZ_SMNT01000106_1_9143_13305_Methylobacterium_segetis_strain_17J42_1_scf7180000001023_whole_geno" "ref" "A5a" "SOIL" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"44" "NZ_LHCD01000028_1_68801_72927_Methylobacterium_sp__ARG_1_Contig28_whole_genome_shotgun_sequence" "ref" "A9" "LICHEN-FUNGI" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"45" "NZ_AKFK01000075_1_70974_75100_Methylobacterium_sp__GXF4_contig78_whole_genome_shotgun_sequence" "ref" "A9" "ENDOPHYTE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"46" "NZ_FOQW01000023_1_73136_77262_Methylobacterium_brachiatum_strain_111MFTsu3_1M4_whole_genome_shot" "ref" "A9" "PLANT" "Methylobacterium" "brachiatum" NA NA NA NA NA NA NA NA NA NA
"47" "NZ_CP033231_1_4987023_4991149_Methylobacterium_brachiatum_strain_TX0642_chromosome" "ref" "A9" "ANTHROPO" "Methylobacterium" "brachiatum" NA NA NA NA NA NA NA NA NA NA
"48" "NZ_FOTK01000001_1_27799_31925_Methylobacterium_pseudosasicola_strain_BL36_whole_genome_shotgun_s" "ref" "A9" "PHYLLOSPHERE" "Methylobacterium" "pseudosasicola" NA NA NA NA NA NA NA NA NA NA
"49" "J_066" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-06" "MSH-06-06" "FAGR" "Iso-2019-1" "MSH-06-06-D" "30" "354" "361" "06-08-18"
"50" "J_085" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-03" "ACSA" "Iso-2019-1" "MSH-01-03-B" "30" "314" "311" "27-06-18"
"51" "LYS072" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-H0" "MSH-H0-9" "FAGR" "Iso-2018" "MSH-H0-9-C" "20" "365" "361" "17-08-17"
"52" "LYS080" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-L0" "MSH-L0-1" "ACSA" "Iso-2018" "MSH-L0-1-A" "30" "365" "361" "17-08-17"
"53" "J_135" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-04" "MSH-04-03" "ACSA" "Iso-2019-2" "MSH-04-03-B" "20" "314" "311" "27-06-18"
"54" "DNA012" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-L0" "MSH-L0-9" "FAGR" "Iso-2018" "MSH-L0-9-C" "20" "365" "361" "17-08-17"
"55" "DNA011" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-L0" "MSH-L0-1" "ACSA" "Iso-2018" "MSH-L0-1-C" "30" "365" "361" "17-08-17"
"56" "J_133" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-04" "MSH-04-02" "ACSA" "Iso-2019-2" "MSH-04-02-B" "20" "314" "311" "27-06-18"
"57" "J_074" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-07" "ACSA" "Iso-2019-1" "SBL-03-07-H" "30" "399" "393" "20-09-18"
"58" "J_141" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-04" "ACSA" "Iso-2019-2" "MSH-01-04-A" "20" "314" "311" "27-06-18"
"59" "E_024" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-06" "MSH-06-06" "FAGR" "Iso-2019-1" "MSH-06-06-C" "30" "354" "361" "06-08-18"
"60" "E_104" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-04" "MSH-04-02" "ACSA" "Iso-2019-2" "MSH-04-02-B" "30" "314" "311" "27-06-18"
"61" "J_138" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-04" "MSH-04-01" "OSVI" "Iso-2019-2" "MSH-04-01-A" "20" "314" "311" "27-06-18"
"62" "E_008" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-03" "MSH-03-01" "ACSA" "Iso-2019-1" "MSH-03-01-B" "30" "314" "311" "27-06-18"
"63" "J_002" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-03" "MSH-03-01" "ACSA" "Iso-2019-1" "MSH-03-01-A" "30" "314" "311" "27-06-18"
"64" "E_121" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-04" "ACSA" "Iso-2019-2" "MSH-01-04-B" "30" "314" "311" "27-06-18"
"65" "E_107" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-04" "MSH-04-04" "OSVI" "Iso-2019-2" "MSH-04-04-B" "30" "314" "311" "27-06-18"
"66" "J_001" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-03" "MSH-03-01" "ACSA" "Iso-2019-1" "MSH-03-01-A" "30" "314" "311" "27-06-18"
"67" "E_002" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-06" "MSH-06-06" "FAGR" "Iso-2019-1" "MSH-06-06-F" "30" "386" "393" "07-09-18"
"68" "E_026" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-02" "FAGR" "Iso-2019-1" "SBL-01-02-B" "30" "307" "311" "20-06-18"
"69" "J_107" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-04" "MSH-04-04" "OSVI" "Iso-2019-2" "MSH-04-04-A" "30" "314" "311" "27-06-18"
"70" "J_009" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-02" "SBL-02-04" "ACSA" "Iso-2019-1" "SBL-02-04-C" "30" "333" "333" "16-07-18"
"71" "NZ_LKKO01000078_1_8778_12904_Methylobacterium_sp__GXS13_contigs68_whole_genome_shotgun_sequence" "ref" "A9" "ENDOPHYTE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"72" "J_008" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-02" "SBL-02-04" "ACSA" "Iso-2019-1" "SBL-02-04-C" "30" "333" "333" "16-07-18"
"73" "J_121" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-10" "ACPE" "Iso-2019-2" "SBL-03-10-C" "30" "333" "333" "16-07-18"
"74" "E_011" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-07" "ACSA" "Iso-2019-1" "SBL-03-07-D" "30" "333" "333" "16-07-18"
"75" "J_077" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-01" "FAGR" "Iso-2019-1" "MSH-01-01-H" "30" "427" "427" "18-10-18"
"76" "J_028" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-07" "ACSA" "Iso-2019-1" "SBL-03-07-E" "30" "364" "361" "16-08-18"
"77" "J_010" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-07" "ACSA" "Iso-2019-1" "SBL-03-07-C" "30" "333" "333" "16-07-18"
"78" "J_075" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-07" "ACSA" "Iso-2019-1" "SBL-03-07-H" "30" "399" "393" "20-09-18"
"79" "E_130" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-10" "ACPE" "Iso-2019-2" "SBL-03-10-D" "30" "333" "333" "16-07-18"
"80" "E_115" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-07" "ACRU" "Iso-2019-2" "SBL-04-07-D" "30" "333" "333" "16-07-18"
"81" "J_116" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-10" "ABBA" "Iso-2019-2" "SBL-01-10-C" "30" "333" "333" "16-07-18"
"82" "E_033" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-03" "FAGR" "Iso-2019-1" "SBL-04-03-H" "30" "399" "393" "20-09-18"
"83" "E_028" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-03" "FAGR" "Iso-2019-1" "SBL-04-03-D" "30" "333" "333" "16-07-18"
"84" "E_062" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-07" "ACSA" "Iso-2019-1" "SBL-03-07-B" "20" "307" "311" "20-06-18"
"85" "J_051" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-03" "FAGR" "Iso-2019-1" "SBL-04-03-E" "30" "364" "361" "16-08-18"
"86" "J_018" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-03" "FAGR" "Iso-2019-1" "SBL-04-03-G" "30" "399" "393" "20-09-18"
"87" "J_072" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-03" "FAGR" "Iso-2019-1" "SBL-04-03-C" "30" "333" "333" "16-07-18"
"88" "J_021" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-02" "FAGR" "Iso-2019-1" "SBL-01-02-E" "30" "364" "361" "16-08-18"
"89" "J_123" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-04" "ABBA" "Iso-2019-2" "SBL-04-04-C" "30" "333" "333" "16-07-18"
"90" "E_102" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-10" "ABBA" "Iso-2019-2" "SBL-01-10-D" "30" "333" "333" "16-07-18"
"91" "J_148" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-07" "ACRU" "Iso-2019-2" "SBL-04-07-D" "20" "333" "333" "16-07-18"
"92" "E_066" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-02" "FAGR" "Iso-2019-1" "SBL-01-02-D" "30" "333" "333" "16-07-18"
"93" "E_129" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-10" "ACPE" "Iso-2019-2" "SBL-03-10-D" "30" "333" "333" "16-07-18"
"94" "J_128" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-02" "SBL-02-03" "FAGR" "Iso-2019-2" "SBL-02-03-C" "30" "333" "333" "16-07-18"
"95" "E_047" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-07" "ACSA" "Iso-2019-1" "SBL-03-07-B" "20" "307" "311" "20-06-18"
"96" "J_033" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-07" "ACSA" "Iso-2019-1" "SBL-03-07-G" "30" "399" "393" "20-09-18"
"97" "J_017" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-03" "FAGR" "Iso-2019-1" "SBL-04-03-G" "30" "399" "393" "20-09-18"
"98" "J_019" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-03" "FAGR" "Iso-2019-1" "SBL-04-03-G" "30" "399" "393" "20-09-18"
"99" "J_087" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-03" "FAGR" "Iso-2019-1" "SBL-04-03-G" "20" "399" "393" "20-09-18"
"100" "J_086" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-03" "FAGR" "Iso-2019-1" "SBL-04-03-G" "20" "399" "393" "20-09-18"
"101" "J_048" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-02" "FAGR" "Iso-2019-1" "SBL-01-02-C" "30" "333" "333" "16-07-18"
"102" "J_052" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-03" "FAGR" "Iso-2019-1" "SBL-04-03-E" "30" "364" "361" "16-08-18"
"103" "E_010" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-02" "SBL-02-04" "ACSA" "Iso-2019-1" "SBL-02-04-D" "30" "333" "333" "16-07-18"
"104" "J_113" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-02" "SBL-02-06" "ABBA" "Iso-2019-2" "SBL-02-06-C" "30" "333" "333" "16-07-18"
"105" "E_128" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-03" "ABBA" "Iso-2019-2" "SBL-03-03-D" "30" "333" "333" "16-07-18"
"106" "E_027" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-02" "FAGR" "Iso-2019-1" "SBL-01-02-B" "30" "307" "311" "20-06-18"
"107" "E_022" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-01" "MSH-01-03" "ACSA" "Iso-2019-1" "MSH-01-03-A" "30" "314" "311" "27-06-18"
"108" "NZ_VRVA01000037_1_37506_41632_Methylobacterium_sp__WL64_NODE_37_length_48539_cov_9_37666_WL64_sp" "ref" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"109" "NZ_CP042823_1_5453322_5457448_Methylobacterium_sp__WL1_chromosome_complete_genome" "ref" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"110" "NZ_VRVI01000050_1_25111_29237_Methylobacterium_sp__WL2_NODE_50_length_36079_cov_11_1316_WL2_spad" "ref" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"111" "J_111" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "MSH" "MSH-04" "MSH-04-05" "QURU" "Iso-2019-2" "MSH-04-05-A" "30" "314" "311" "27-06-18"
"112" "NZ_VRVD01000131_1_488_4614_Methylobacterium_sp__WL18_NODE_131_length_9593_cov_19_2574_WL18_spade" "ref" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"113" "NZ_VRVG01000028_1_37716_41842_Methylobacterium_sp__WL7_NODE_28_length_50257_cov_5_44506_WL7_spad" "ref" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." NA NA NA NA NA NA NA NA NA NA
"114" "E_035" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-02" "FAGR" "Iso-2019-1" "SBL-01-02-H" "30" "399" "393" "20-09-18"
"115" "J_118" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-07" "ACRU" "Iso-2019-2" "SBL-04-07-C" "20" "333" "333" "16-07-18"
"116" "J_026" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-03" "FAGR" "Iso-2019-1" "SBL-04-03-F" "20" "364" "361" "16-08-18"
"117" "E_034" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-03" "FAGR" "Iso-2019-1" "SBL-04-03-H" "30" "399" "393" "20-09-18"
"118" "J_124" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-04" "ABBA" "Iso-2019-2" "SBL-04-04-C" "30" "333" "333" "16-07-18"
"119" "J_147" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-07" "ACRU" "Iso-2019-2" "SBL-04-07-D" "20" "333" "333" "16-07-18"
"120" "J_115" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-10" "ABBA" "Iso-2019-2" "SBL-01-10-C" "30" "333" "333" "16-07-18"
"121" "E_012" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-07" "ACSA" "Iso-2019-1" "SBL-03-07-D" "30" "333" "333" "16-07-18"
"122" "E_125" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-04" "ABBA" "Iso-2019-2" "SBL-04-04-D" "30" "333" "333" "16-07-18"
"123" "J_036" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-02" "SBL-02-04" "ACSA" "Iso-2019-1" "SBL-02-04-F" "30" "364" "361" "16-08-18"
"124" "J_011" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-07" "ACSA" "Iso-2019-1" "SBL-03-07-C" "30" "333" "333" "16-07-18"
"125" "E_124" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-04" "SBL-04-04" "ABBA" "Iso-2019-2" "SBL-04-04-D" "30" "333" "333" "16-07-18"
"126" "E_101" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-10" "ABBA" "Iso-2019-2" "SBL-01-10-D" "30" "333" "333" "16-07-18"
"127" "E_029" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-01" "SBL-01-02" "FAGR" "Iso-2019-1" "SBL-01-02-D" "30" "333" "333" "16-07-18"
"128" "J_120" "strain" "A9" "PHYLLOSPHERE" "Methylobacterium" "sp." "SBL" "SBL-03" "SBL-03-10" "ACPE" "Iso-2019-2" "SBL-03-10-C" "30" "333" "333" "16-07-18"
